lang	text_newlines	text_wcwords	text_chars	text_bytes	docs
af	201946071	1602558942	13236245587	13356870390	1371732
ar	8310092569	49459689098	302288859749	497199432730	46644105
az	499424645	2877248302	23914662327	27395629032	2999633
be	272243255	1926246392	17299682018	30388739789	1263852
bg	2827139676	15287497820	103005704793	170969841348	13343257
bn	885051536	4863913399	32287205948	73117698920	5968971
ca	1162700337	7882712210	49440852159	50952786275	7793640
cs	6955121056	36381484701	248027023878	270004625869	38564238
cy	38399227	234136742	1506561594	1525025763	285053
da	4576682233	22104034024	152557566252	156173418247	23576016
de	33744993315	190937735276	1443718633357	1466069964452	226466682
el	9489856186	49888215240	328951869176	531200437368	30625476
en	387231549599	2861889645616	20255064696280	20342499546706	1781836533
eo	22417634	152631420	1005287829	1033595105	177132
es	33264405146	239294228826	1491252600545	1527597406654	201059233
et	1554880536	6565759136	50133285390	51585001104	5840594
eu	125306472	660298319	4964788364	5019445632	1008242
fa	7170096402	57516614085	310237250947	531346906236	42277337
fi	4144760554	19881601596	158484926724	164322009666	19506899
fr	26315911456	173762489926	1135311218631	1170706698475	175760036
ga	121143881	519913089	3349335575	3582152561	931549
gl	222144383	1291365593	8339779693	8560561138	1789799
gu	60955380	430503449	2655176189	5541700769	454727
hbs	3087134650	17940004957	124080092131	142337834801	17842009
he	2682325908	14448057052	86527516918	139183620075	11241370
hi	2383357443	14126303087	83865380140	168260050320	11422009
hu	5503180727	28047861937	210598604242	228286763254	28489150
hy	258286950	1287948330	9524823513	15806394191	1363744
id	7429528988	54220368375	377544590020	380217075496	45771972
is	316017012	1562952767	10306665506	11333527142	1439017
it	22774521635	115250841744	822013367797	830490447410	96500928
ja	40869016870	77438127596	860017444075	1930290022280	218847859
ka	357720901	1608958725	12039563636	26651860399	1670420
kk	217813416	1033034585	7852636097	13744213927	1428246
kn	103352416	492000902	3567198931	7601320105	557821
ko	8716001646	34344974895	171453534193	325168016812	44458287
ky	25979005	152930628	1168401725	2060513358	188166
la	406364413	3806435008	32985207447	33134775423	4810947
lt	1662752242	7331553373	54164291324	57119339917	7395877
lv	1383969674	5852932730	44418882742	47389743586	5123187
mk	176903338	1067775601	6986605634	11801985018	1248979
ml	163047585	917416293	7702433983	17176007038	1130688
mn	148496597	1048941031	7279062447	12310669045	1057288
mr	123751133	812461235	5410566514	11820959122	857207
ms	2429782882	13363661518	85030109797	86561224798	8358927
mt	168749837	818605151	5690926074	6014339841	484424
my	247435238	1136023629	9191147605	19561524339	826107
nb	2979795631	16263627649	106443708748	108738130674	14576409
ne	137882424	966767230	6361366227	14879032585	1360974
nl	10037087892	55943012041	376031915947	378783413480	66622002
nn	108650762	615680779	4278665065	4380306805	752533
pa	109901242	523183151	2984820786	6259841709	888467
pl	14256113149	76265562443	544262974082	567360810248	82924455
ps	26437031	172136187	881635809	1414646909	142659
pt	18749055262	121754618996	760132457312	785748444057	103819743
ro	4574200613	28915971933	187528693743	193330971372	24944983
ru	65829106597	413509304680	3094540679267	5055196662202	397273894
si	95449161	734992245	4777545321	9929973520	563991
sk	3047940069	14159172863	102277737866	109803974891	13990888
sl	1430341034	6717258020	47163054391	48211513005	5818274
so	35408284	253709369	1713762128	1726349678	374709
sq	566711868	3656436744	25737220674	27237196629	3220459
sv	5385119749	29783024644	194645465567	201942037576	29956198
sw	122310135	830993852	5465247196	5523788246	983506
ta	468375393	2941299897	22988681055	51338196954	2470881
te	212195590	1026738648	7347062298	15548215699	1610483
th	4840793181	16430061867	167885543307	373054871228	29477140
tl	240330275	1625496014	11463368842	11561148551	1203684
tr	10291746445	64915097570	455385089584	492818094626	59430334
tt	26431143	134182865	964593146	1630797883	172471
uk	3176621860	18187535686	134141286346	230809447983	17860323
ur	267658190	2018995985	11134738511	16125024258	2230857
uz	92653353	556448432	4376122354	6116559302	633219
vi	6802428781	59202328553	293019632357	361572276094	40100516
zh	199634669433	482862356583	5750452046673	13360760200680	1200373368
